,name,classes,samples_per_class,samples_total,dimensionality,dr_name,dr_learning,dr_transformation,dr_structure,clf_name,clf_accuracy,clf_kappa,clf_balanced_accuracy
114,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,SMV,0.9438202247191011,0.9142416650607054,0.9447415329768271
115,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,Naive Bayes,0.898876404494382,0.8456944712001542,0.9052287581699346
116,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,Decision Tree,0.8876404494382022,0.8285163776493256,0.8900772430184195
117,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,Quadratic Discriminant,0.9550561797752809,0.9310878823073945,0.9494949494949495
118,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,MPL Classifier,0.9438202247191011,0.9136592937524253,0.9343434343434344
119,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,Gaussian Process,0.9325842696629213,0.8968514583735754,0.9295900178253119
120,wine,3,"{'class_0': 59, 'class_1': 71}",178,13,PLS_Regression,learning.supervised,transformation.linear,structure.global_structure,Random Forest Classifier,0.9550561797752809,0.9316042267050912,0.9604872251931075
121,backache,2,"{'0': 155, '1': 25}",180,31,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,KNN,0.9444444444444444,0.7324613555291319,0.8076923076923077
122,backache,2,"{'0': 155, '1': 25}",180,31,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,SMV,0.9555555555555556,0.7938144329896907,0.8461538461538461
123,backache,2,"{'0': 155, '1': 25}",180,31,Sup K-ISOMAP,learning.supervised,transformation.nonlinear,structure.local_structure,Naive Bayes,0.9555555555555556,0.807897545357524,0.8781218781218781
